MAIN_ORG,ORGS,text,sentiments,score,month
108,GCAM,['Beztam-E'],"Groupe Crédit Agricole du Maroc a lancé, à son tour, sa solution de paiement mobile qu’il a baptisée «Beztam-E». Elle a été présentée par le groupe bancaire comme une contribution à l’inclusion financière et une confirmation de son orientation digitale. N’étant pas destinée uniquement aux clients du GCAM, mais aussi aux clients non bancarisés, Beztam-E devra profiter, entre autres, aux agriculteurs qui pourront l’utiliser pour réceptionner les aides de l’État.",POSITIVE,1.0,avril
109,BANQUE CENTRALE POPULAIRE BCP,"['MAP', 'Banque Atlantique', 'Atlantique Asset Management', 'Atlantique Finance', 'Banque d’affaires']","Entre 2012-2019, la Banque Centrale Populaire (BCP) a financé, à hauteur de 800 milliards de Fcfa, soit environ 1,3 milliard d’euros, des projets de développement en Côte d’Ivoire. «Ces financements concernent des secteurs aussi stratégiques que l’éducation, les infrastructures routières, l’adduction d’eau, l’assainissement, l’énergie, entre autres», a indiqué le PDG du groupe marocain, Mohamed Karim Mounir, après avoir été décoré Commandeur de l’Ordre national de Côte d’Ivoire. 
Par ailleurs, le groupe a mobilisé environ 1.600 milliards de Fcfa, soit près de 2,5 milliards d’euros, à travers des souscriptions à diverses émissions obligataires et bons du Trésor de l’État de Côte d’Ivoire qui occupe une place «de choix» dans le portefeuille global du groupe bancaire.
«En 2019, les encours de crédits à l’économie s’élevaient à 879 milliards de Fcfa (1,34 milliard d’euros), dont 694 milliards accordés aux entreprises», souligne le PDG, cité par l’agence MAP. 
La BCP propose par ailleurs des solutions sur mesure, «compétitives et innovantes» au profit des PME. Cet engagement s’illustre par le niveau des encours de crédits que Banque Atlantique, filiale de la BCP, a octroyés aux PME en 2019, soit plus de 70 milliards de Fcfa. «Une partie de cette enveloppe a été allouée au soutien à des projets portés par les femmes et les jeunes dans les secteurs économiques les plus significatifs», détaille le PDG. Le groupe intervient également en Côte d’Ivoire à travers sa Banque d’affaires, Atlantique Finance, et Atlantique Asset Management pour la gestion d’actifs. 
",POSITIVE,1.0,avril
110,BMCI-BNP PARIBAS BANQUE PRIVÉE,"['Corporate Banking', 'BNP Paribas Wealth', 'BMCI', 'Global Finance', 'Global Finance', 'Global Finance']","BMCI-BNP Paribas Banque Privée vient d’être élue «Meilleure Banque privée au Maroc» pour l’année 2019, par le magazine «Global Finance». La cérémonie de remise des prix a été organisée à New York le 5 février devant 100 dirigeants financiers internationaux. «Ce prix atteste du formidable travail fourni par les équipes depuis la création de BMCI-BNP Paribas Banque Privée en 2010 et conforte notre position de banque privée de référence au Maroc», a déclaré Soraya Mahfoud, directrice de la Banque privée du groupe BMCI. Selon le groupe, BMCI-BNP Paribas Banque Privée n’a cessé de grandir pour devenir aujourd’hui l’un des cœurs de métier de la BMCI. «Elle continue, d’ailleurs d’offrir un potentiel de croissance et de développement important», est-il souligné. À noter que le parc clientèle a été multiplié par deux, durant les quatre dernières années au moment où le volume des actifs financiers s’est accru de 50%. Cette performance est portée notamment par les synergies développées avec le Corporate Banking du groupe BMCI. Globalement, BNP Paribas Wealth Management a été primée 5 fois par «Global Finance» notamment en tant que «meilleure banque privée du monde». Le magazine «Global Finance» a sélectionné les lauréats en identifiant les équipes de gestion de patrimoine «qui répondent le plus efficacement aux besoins spécifiques de leurs clients tout en cherchant à améliorer, préserver et transmettre leur patrimoine.», précise le groupe BMCI. 
",POSITIVE,1.0,avril
111,RENAULT,"['Toyota Europe', 'Groupe Fiat', 'Ducati', 'Lamborghini', 'Groupe Volkswagen', 'Nissan']","Trois nominations chez le groupe Renault. Luca de Meo est désigné directeur général de Renault S.A. et président de Renault s.a.s avec effet à compter du 1er juillet prochain. Clotilde Delbos, directeur général de Renault S.A. par intérim continuera d’assumer ses fonctions jusqu’à l’entrée en fonction de Luca de Meo et sera, à partir de la même date, directeur général adjoint de Renault S.A. Luca de Meo a démarré sa carrière chez Renault avant de rejoindre Toyota Europe, puis le Groupe Fiat, cumulant plus de 20 ans d’expérience dans le secteur automobile. Il était Président du Comité Exécutif de SEAT depuis le 1er novembre 2015 jusqu’en janvier 2020, membre des Conseils de surveillance de Ducati et de Lamborghini et président du conseil d’administration du Groupe Volkswagen en Italie. Par ailleurs, Denis Le Vot est depuis le 28 janvier, directeur Régions, Commerce et Marketing du Groupe Renault. Avant d’occuper ce poste, il était directeur général et président du comité de direction de Nissan Amérique du Nord.
",POSITIVE,1.0,avril
112,MONDELEZ MAROC,"['Milka', 'Milka', 'Milka', 'Bimo', 'iscuiterie Industrielle ', 'Moghreb', 'Oreo', 'Sidi Bernoussi', 'reo ', 'Afrique', 'Clorets', 'Trident', 'Halls', ""d'Oreo ""]","Mondelez s'est allié à un distributeur pour desservir le marché marocain en produits Milka. Le nom de ce dernier n'a pas été dévoilé, malgré nos demandes d'informations. Répondant, entre autres, aux normes de distribution des chocolats, dont le respect de la chaine de froid, le nouveau partenaire de Mondelez Maroc assurera «l’acheminement des produits Milka dans d’excellentes conditions autant pour le commerce moderne que vers les points de vente traditionnels, et ce, partout au Maroc», assure le groupe dans un communiqué. L’introduction «officielle» de Milka au Maroc, une marque vieille de 114 ans dans le monde, constitue un point de départ pour le développement de la catégorie chocolat de Mondelēz International dans le pays, est-il souligné.
Une étape de plus dans le parcours du groupe, dont l’aventure a démarré au Maroc en 2001 avec la société Bimo (Biscuiterie Industrielle du Moghreb).
Notons qu’en 2015, Mondelēz Maroc, qui emploie environ 1.000 salariés, à mis en route des lignes de fabrication pour produire Oreo, un autre produit phare du groupe. L’usine, située à Sidi Bernoussi, quartier industriel de Casablanca, est le plus important centre de production d'Oreo en Afrique, avec une capacité de 900 millions de biscuits par an ou près de 2,5 millions de biscuits par jour. Mondelez Maroc commercialise également Clorets, le numéro 1 en volume des chewing-gums, Trident, le numéro 1 des chewing-gums sans sucre, et Halls, le numéro 1 des bonbons mentholés. 
",POSITIVE,1.0,avril
113,SOCIÉTÉ FINANCIÈRE INTERNATIONALE,"['Woman Entrepreneurs Opportunity Facility', 'céan indien.', 'WEOF']","Le groupe Bank Of Africa (BOA) de BMCE Bank et la Société financière internationale (SFI) ont conclu un accord de garantie de portefeuille pour 60 millions de dollars. Objectif : accroître les financements destinés aux PME africaines dans 8 pays tout en contribuant à la création d’emplois et à la croissance, selon un communiqué de BOA cité par la MAP.
Cet accord prévoit une garantie de 50% des risques sur un portefeuille de 120 millions de dollars de financement pour des entreprises du Ghana, Burkina Faso, Madagascar, Mali, Niger, Sénégal, Tanzanie et Togo. La moitié du montant de l’investissement sera consacrée à l’appui des PME féminines ainsi qu'aux activités destinées à la lutte contre le changement climatique. 
«Ce financement est en droite ligne avec la stratégie, initiée depuis 2 ans, d’accroître notre accompagnement des PME. Nous sommes en effet convaincus que celles-ci portent le véritable développement, un développement tangible, ancré dans les réalités quotidiennes des citoyens africains», déclare Amine Bouabid, PDG du groupe BOA. Notons que ce financement est réalisé grâce à l’appui du Woman Entrepreneurs Opportunity Facility (WEOF), de l’initiative 10.000 Woman de Goldman Sachs et du Global SME Finance Facility. 
Il est à rappeler que le groupe BOA est implanté dans 18 pays, dont 8 en Afrique de l’Ouest, 8 en Afrique de l’Est et dans l’Océan indien.
",POSITIVE,1.0,avril
114,BMCI-BNP PARIBAS BANQUE,"['Corporate Banking', 'BNP Paribas Wealth', 'BMCI', 'Global Finance', 'Global Finance', 'Global Finance']","BMCI-BNP Paribas Banque Privée vient d’être élue «Meilleure Banque privée au Maroc» pour l’année 2019, par le magazine «Global Finance». La cérémonie de remise des prix a été organisée à New York le 5 février devant 100 dirigeants financiers internationaux. «Ce prix atteste du formidable travail fourni par les équipes depuis la création de BMCI-BNP Paribas Banque Privée en 2010 et conforte notre position de banque privée de référence au Maroc», a déclaré Soraya Mahfoud, directrice de la Banque privée du groupe BMCI. Selon le groupe, BMCI-BNP Paribas Banque Privée n’a cessé de grandir pour devenir aujourd’hui l’un des cœurs de métier de la BMCI. «Elle continue, d’ailleurs d’offrir un potentiel de croissance et de développement important», est-il souligné. À noter que le parc clientèle a été multiplié par deux, durant les quatre dernières années au moment où le volume des actifs financiers s’est accru de 50%. Cette performance est portée notamment par les synergies développées avec le Corporate Banking du groupe BMCI. Globalement, BNP Paribas Wealth Management a été primée 5 fois par «Global Finance» notamment en tant que «meilleure banque privée du monde». Le magazine «Global Finance» a sélectionné les lauréats en identifiant les équipes de gestion de patrimoine «qui répondent le plus efficacement aux besoins spécifiques de leurs clients tout en cherchant à améliorer, préserver et transmettre leur patrimoine.», précise le groupe BMCI. 
",POSITIVE,1.0,avril
115,BERD,"['BMCE Bank', 'Fonds vert', 'BMCE Bank']","La Banque européenne pour la reconstruction et le développement (BERD) négocie avec BMCE Bank un nouveau partenariat dans le cadre du lancement d'un programme de financement de l’économie verte «GEFF». Ce mécanisme, initié en partenariat avec le Fonds vert pour le climat, est destiné à financer des investissements privés dans les énergies et les ressources durables. Une première ligne de 10 millions d’euros est envisagée pour BMCE Bank.",POSITIVE,1.0,avril
116,SIEMENS,"['Siemens Maroc', 'SolarPACES', 'Noor I', 'Noor II', 'Noor III', 'Maroc']","Siemens et Masen renforcent leur partenariat. La multinationale et l'Agence ont conclu un protocole d’accord pour approfondir leur collaboration, notamment dans les activités de recherche pour le développement de nouvelles générations de turbines spécifiques et avancées destinées aux futures centrales solaires à concentration (CSP). Ce partenariat permettra, en outre, d’élaborer des stratégies adaptées d’exploitation et de maintenance des turbines actuelles et futures ainsi que la digitalisation des composants du système CSP. 
La formation n’est pas en reste. Siemens et Masen s’engagent ainsi à élaborer conjointement des programmes spéciaux afin d’assurer l’échange de connaissances et dispenser une formation «adaptée» au personnel local. «Nous sommes très heureux de pouvoir collaborer avec Masen et développer ensemble, des solutions technologiques spécifiques, qui répondraient aux besoins des futures générations de centrales solaires. C’est un peu notre modeste contribution auprès de Masen, qui poursuit la réalisation de l’objectif national d’atteindre 52% du mix électrique marocain à partir d’énergies renouvelables d’ici 2030», a déclaré le DG de Siemens Maroc, Drik De Bilde. À noter que ce partenariat a été signé à l’occasion de la 24e édition de la conférence SolarPACES (Solar power and chemical energy systems) qui s’est tenue du 2 au 5 octobre à Casablanca. 
Pour rappel, Noor I, Noor II et Noor III sont d’ores et déjà équipés de turbines Siemens. Le groupe compte à son actif plusieurs autres projets au Maroc dans les énergies renouvelables notamment la centrale thermique à cycle combiné de Tahaddart. 
",POSITIVE,1.0,mai
117,MONDELEZ,"['Milka', 'Milka', 'Milka', 'Bimo', 'iscuiterie Industrielle ', 'Moghreb', 'Oreo', 'Sidi Bernoussi', 'reo ', 'Afrique', 'Clorets', 'Trident', 'Halls', ""d'Oreo ""]","Mondelez s'est allié à un distributeur pour desservir le marché marocain en produits Milka. Le nom de ce dernier n'a pas été dévoilé, malgré nos demandes d'informations. Répondant, entre autres, aux normes de distribution des chocolats, dont le respect de la chaine de froid, le nouveau partenaire de Mondelez Maroc assurera «l’acheminement des produits Milka dans d’excellentes conditions autant pour le commerce moderne que vers les points de vente traditionnels, et ce, partout au Maroc», assure le groupe dans un communiqué. L’introduction «officielle» de Milka au Maroc, une marque vieille de 114 ans dans le monde, constitue un point de départ pour le développement de la catégorie chocolat de Mondelēz International dans le pays, est-il souligné.
Une étape de plus dans le parcours du groupe, dont l’aventure a démarré au Maroc en 2001 avec la société Bimo (Biscuiterie Industrielle du Moghreb).
Notons qu’en 2015, Mondelēz Maroc, qui emploie environ 1.000 salariés, à mis en route des lignes de fabrication pour produire Oreo, un autre produit phare du groupe. L’usine, située à Sidi Bernoussi, quartier industriel de Casablanca, est le plus important centre de production d'Oreo en Afrique, avec une capacité de 900 millions de biscuits par an ou près de 2,5 millions de biscuits par jour. Mondelez Maroc commercialise également Clorets, le numéro 1 en volume des chewing-gums, Trident, le numéro 1 des chewing-gums sans sucre, et Halls, le numéro 1 des bonbons mentholés. 
",POSITIVE,1.0,mai
118,OCP,no organisation,"Soutien des petits fermiers et des États africains, formation, aide au financement et à la commercialisation et accompagnement depuis 10 ans d’une plateforme d’échanges sur les engrais en Afrique. L’approche adoptée par l'OCP sur le continent africain a aujourd’hui porté ses fruits. ",POSITIVE,1.0,mai
119,LG THINQ,"['Séoul', 'LG InstaView', 'Twinwash', 'Smart ThinQ.', 'OLED', 'OLED', 'Amazon Alexa', 'MEA', 'Innofest', 'Alpha 9']","LG a mis l’accent sur l’intelligence artificielle (IA) lors de l’Innofest MEA 2019. L’événement organisé à Séoul a été l’occasion pour le géant sud-coréen de présenter ses dernières innovations. 
Au menu : une maison connectée avec une «expérience de vie futuriste» grâce à la technologie LG ThinQ. Pour la cuisine, c’est le réfrigérateur LG InstaView qui est à l’honneur. Grâce à l’IA, il permet de faire la compilation des listes de courses, assiste le cuisinier en lui proposant des recettes à l’aide de son interface à écran tactile. Les machines à laver Twinwash peuvent, pour leur part, être utilisées à distance grâce à l’application Smart ThinQ. «LG ThinQ apporte un apprentissage en profondeur des produits ménagers quotidiens. Les appareils sont activés avec la capacité d’apprendre les habitudes et les goûts d’un utilisateur au fil du temps, pour une meilleure intégration et une tranquillité d’esprit», précise le géant asiatique dans un communiqué. Lors de l’Innofest, le groupe a également présenté, en exclusivité, le premier téléviseur OLED enroulable au monde de la gamme premium LG Signature. L’écran associe la technologie OLED à des innovations techniques pour «offrir une unité unique capable de s’intégrer de manière homogène dans un large éventail d’espaces grâce à sa nature flexible». Grâce aux assistants numériques intégrés, dont Amazon Alexa, les utilisateurs peuvent contrôler leur téléviseur en utilisant leur voix. Le processeur intelligent 9 (Alpha 9) de deuxième génération et l’algorithme deep learning de LG optimisent le contenu pour une meilleure qualité d’image et de son. 
",POSITIVE,1.0,mai
120,CDG DÉVELOPPEMENT,"['Fipar-Holding', 'Acacia', 'Branches', 'Branche Développement territoriale', 'Branche Tourisme', 'Madaëf', 'Branche investissement']","La Caisse de dépôt et de gestion (CDG) renforce son architecture de pilotage. Elle vient de créer une nouvelle structure organisationnelle baptisée «Branche investissement». Celle-ci est portée par la holding «CDG Invest» et comprend dans son périmètre les filiales Fipar-Holding, Acacia Participations, CDG Capital Private Equity et CDG Capital Infrastructures. La création de cette branche Investissement a pour but de «permettre au Groupe CDG de développer son positionnement “Investisseur” tel que défini dans le cadre de son plan stratégique 2017-2022, dans les meilleures conditions de moyens, de cohérence et de lisibilité», indique le groupe dans un communiqué. 
Les structures organisationnelles dites «Branche» sont, elles, créées dans le cadre de la mise en œuvre de la nouvelle architecture de pilotage du Groupe CDG. Elles constituent une structure managériale par métier et pilotent des filiales opérant dans le même secteur d'activité. C’est dans cette logique que deux Branches avaient vu le jour en octobre 2017 : Branche Développement territoriale, portée par CDG Développement, et Branche Tourisme, portée par Madaëf. Pour rappel, la stratégie 2022 du Groupe CDG privilégie les modes d'intervention en tant qu’«Expert», «Co-Financeur» et «Investisseur» par rapport au mode «Opérateur» adopté pendant longtemps par le Groupe. Ces nouveaux modes permettent à la CDG de mieux répondre aux enjeux économiques du Royaume, notamment ceux liés à l’évolution de son modèle de développement, à la régionalisation avancée, à la transition énergétique et au développement durable. Le tout en lui permettant de consolider son modèle économique, d’accroître significativement ses capacités d’intervention et de mieux gérer ses risques. 
",POSITIVE,1.0,mai
121,GROUPE CDG,"['Fipar-Holding', 'Acacia', 'Branches', 'Branche Développement territoriale', 'Branche Tourisme', 'Madaëf', 'Branche investissement']","La Caisse de dépôt et de gestion (CDG) renforce son architecture de pilotage. Elle vient de créer une nouvelle structure organisationnelle baptisée «Branche investissement». Celle-ci est portée par la holding «CDG Invest» et comprend dans son périmètre les filiales Fipar-Holding, Acacia Participations, CDG Capital Private Equity et CDG Capital Infrastructures. La création de cette branche Investissement a pour but de «permettre au Groupe CDG de développer son positionnement “Investisseur” tel que défini dans le cadre de son plan stratégique 2017-2022, dans les meilleures conditions de moyens, de cohérence et de lisibilité», indique le groupe dans un communiqué. 
Les structures organisationnelles dites «Branche» sont, elles, créées dans le cadre de la mise en œuvre de la nouvelle architecture de pilotage du Groupe CDG. Elles constituent une structure managériale par métier et pilotent des filiales opérant dans le même secteur d'activité. C’est dans cette logique que deux Branches avaient vu le jour en octobre 2017 : Branche Développement territoriale, portée par CDG Développement, et Branche Tourisme, portée par Madaëf. Pour rappel, la stratégie 2022 du Groupe CDG privilégie les modes d'intervention en tant qu’«Expert», «Co-Financeur» et «Investisseur» par rapport au mode «Opérateur» adopté pendant longtemps par le Groupe. Ces nouveaux modes permettent à la CDG de mieux répondre aux enjeux économiques du Royaume, notamment ceux liés à l’évolution de son modèle de développement, à la régionalisation avancée, à la transition énergétique et au développement durable. Le tout en lui permettant de consolider son modèle économique, d’accroître significativement ses capacités d’intervention et de mieux gérer ses risques. 
",POSITIVE,1.0,mai
122,SOCIÉTÉ FINANCIÈRE INTERNATIONALE SFI,no organisation,"La Société financière internationale (SFI), le bras armé de la Banque mondiale pour le secteur privé, s’apprête à approuver un prêt de 24 millions de dollars à Zalar Agri. Ce financement est destiné à soutenir la croissance de l’entreprise marocaine spécialisée dans la production et la commercialisation des fruits et légumes.",POSITIVE,1.0,mai
123,STG TELECOM,['IMC'],"Le fabricant américain de smartphones STG Telecom se mobilise aux côtés des Marocains et participe au mouvement de solidarité que connaît le pays, pour faire face à la pandémie du Covid-19.
Pour accompagner cette dynamique, STG Telecom a lancé, en coordination avec les autorités locales dans la région de Tanger et Fahs Anjra, une opération de distribution de denrées alimentaires au profit de 500 ménages en situation de précarité.
Cette action fait partie des « multiples » initiatives à caractère social, menées dans plusieurs villes du Royaume. « En cette période exceptionnelle et difficile, STG Telecom exprime sa totale adhésion aux efforts consentis par les pouvoirs publics afin d’aider le pays à lutter efficacement contre cette crise sanitaire sans précédent », indique l’entreprise qui a ouvert, en novembre dernier, son capital social à la holding d’investissement IMC -International Moroccan Conglomerate. 
",POSITIVE,1.0,mai
124,PSA,"['Capsa', 'Capsa', 'DS', 'Dongfeng', 'FCA', 'Fiat Chrysler', 'Capsa', 'Chongqing Changan Automobile', 'DS', 'DPCA ']","PSA s’apprête à vendre sa participation dans sa co-entreprise chinoise Capsa. Spécialisée dans la marque DS, «Capsa est victime depuis plusieurs années d’une chute de ses ventes», rapporte Reuters citant un porte-parole du constructeur automobile français.
Le projet de cession des 50% de PSA dans cette JV datant de 2011 et possédant une usine à Shenzhen a fait l’objet en fin de semaine dernière, d’une information des syndicats de PSA réunis en CSE central extraordinaire. 
Côté chinois, le processus de recherche par Chongqing Changan Automobile d’un acheteur pour ses 50% de Capsa a déjà été évoqué dans des documents officiels début novembre, «et fait l’objet d’un nouveau filing officiel auprès de la Bourse de la ville de Chongqing».
«Les deux partenaires ont l’intention de vendre leurs parts dans leur JV commune Capsa. Cela ne remet pas en cause la présence et l’engagement en Chine de la marque DS, pour laquelle un nouveau plan stratégique sera présenté dans les prochaines semaines ou mois», a dit le porte-parole de PSA, sans autre commentaire sur le processus de vente engagé.
«Aucun commentaire n’a pu être obtenu dans l’immédiat auprès d’un porte-parole de Changan hors des heures ouvrables habituelles».
Notons que les ventes de PSA en Chine ont encore chuté de 32% l’an dernier à environ 263.000 véhicules, très loin du million d’unités visé plusieurs années plus tôt quand le marché chinois était l’axe majeur de l’internalisation du groupe sochalien.
L’autre JV chinoise de PSA - DPCA avec Dongfeng, de plus grande taille - fait elle aussi l’objet d’une restructuration drastique et PSA voit dans son projet de mariage avec FCA un moyen de diversifier à nouveau ses ventes hors d’Europe, notamment grâce à la forte implantation de Fiat Chrysler aux États-Unis et au Brésil. 
",POSITIVE,1.0,mai
125,DELL TECHNOLOGIES,no organisation,"Véritable acteur en matière des technologies numériques, Dell Technologies offre des solutions, des produits et des services innovants permettant aux entreprises d’assurer leurs succès et leur compétitivité. L’opérateur s’engage également à mettre en place des initiatives et des mécanismes en vue de permettre aux jeunes de se doter des soft skills requises par les recruteurs. Le but est aussi d’offrir aux jeunes la possibilité de s’épanouir dans le milieu de travail moderne et de réduire à terme le chômage.",POSITIVE,1.0,mai
126,CRÉDIT AGRICOLE,['RNPG'],"Le groupe Crédit Agricole a réalisé globalement de bons résultats financiers à fin septembre 2018. Son produit net bancaire s’est élevé à 2,5 milliards de DH, soit le même niveau enregistré une année auparavant. La progression de la marge d’intérêt de 17% et de celle sur commissions de 5% a à peine compensé la baisse des activités du marché. Le résultat net part du groupe (RNPG), quant à lui, ressort à 434 millions de DH, en appréciation de 6% sur un an, souligne la banque verte dans un communiqué. 
Le résultat net social s’est établi à 233 millions de DH, en progression de 5% en comparaison à la même période de 2017. 
À fin septembre 2018, Crédit Agricole a porté son encours de crédits distribués à 75 milliards de DH, en appréciation de 5% sur un an. Sur la même période, les crédits se sont appréciés de 9%. Le groupe a par ailleurs poursuivi ses efforts d’optimisation du coût des ressources en performant sur la collecte des dépôts à vue. 
Notons que durant la période analysée, le groupe Crédit Agricole a signé 11 conventions d’entente avec 9 pays africains, mettant à leur disposition son savoir-faire et son expérience dans le financement de l’agriculture. Ainsi, le groupe bancaire a lancé un programme de formation de proximité ciblant 10.000 bénéficiaires à horizon 2020. À fin septembre 2018, Tamwil El Fellah a reconduit sa politique de développement en portant son encours de crédits à 786 millions en faveur de 81.559 petits agriculteurs. De son côté, la fondation ARDI a affiché des encours de crédits de 294 millions de DH, répondant ainsi aux besoins de financement de plus de 100.000 clients relevant de la finance solidaire.  
",POSITIVE,1.0,mai
127,JUMIA FOOD,"['McDonald’s Maroc', 'McDonald’s Maroc', 'Jumia']","Nouvelle initiative pour doper son business. McDonald’s vient de lancer son service de livraison à domicile, en partenariat avec Jumia Food. Le «McDelivery», opérationnel depuis le 31 janvier dernier, est disponible d’abord sur Casablanca et Rabat et sera ensuite étendu à plusieurs autres villes du Royaume. «L'initiative de McDonald’s Maroc s'inscrit dans une dynamique constante où la marque fait de la satisfaction client son cheval de bataille», souligne la chaîne de restauration. Pour se faire livrer, les clients devront ainsi utiliser la plateforme internet ou mobile de Jumia Food. «L’application lui propose automatiquement la livraison d’un restaurant le plus proche dans un rayon de 3 km maximum», est-il précisé. Ainsi, les horaires possibles de livraison sont les mêmes que ceux des restaurants situés dans le rayon de géolocalisation où se trouve le client lors de la commande, l’heure maximale de passation de commande étant 1 h du matin. Concernant le prix, c’est le même qu’au restaurant augmenté de 11 DH pour la livraison. 
Les paiements se font par carte bancaire ou en espèces (à la livraison uniquement).  
À noter que McDonald’s Maroc dispose de 45 restaurants sur le marché répartis sur 20 villes du Royaume. L’entreprise indique que 50% des produits utilisés quotidiennement dans ses restaurants proviennent de producteurs locaux. Le staff, lui, est 100% marocain avec un effectif de 3.000 collaborateurs. Jumia Food est la filiale du groupe Jumia, une plateforme e-commerce opérant au Maroc et en Afrique. Présente dans 11 pays africains, Jumia Food est active sur plusieurs villes du Royaume : Casablanca, Rabat, Marrakech, Tanger, Agadir et Meknès, et «continue son expansion progressivement». Jumia Food Maroc revendique une clientèle d'un demi-million de consommateurs. 
",POSITIVE,1.0,mai
128,BMCI,no organisation,"Au premier semestre, le groupe BMCI a débloqué près de 5 milliards de DH de nouveaux prêts amortissables. L’encours crédits à la clientèle s’est ainsi renforcé de 2,2% en glissement semestriel à 53,5 milliards de DH au moment où les dépôts se sont consolidés de 1,3% à 46,7 milliards. Sur un PNB de 1,54 milliard, BMCI a engrangé 352 millions de DH de bénéfices, un gain de 2,2%, en glissement annuel.",POSITIVE,1.0,mai
129,SOCIÉTÉ GÉNÉRALE,no organisation,"Société Générale poursuit le développement des «Maisons de la PME» dans ses filiales africaines. Le groupe s’apprête en effet à en ouvrir une à Madagascar et une autre en Guinée (Conakry). L’objectif étant d’avoir une Maison de la PME dans chacune des filiales africaines, y compris le Maroc. Ce concept se veut une approche d’accompagnement multidimensionnel pour répondre aux besoins des dirigeants des petites et moyennes entreprises. Société Générale réunit, dans un même espace, des acteurs locaux et internationaux pour œuvrer ensemble à la levée des principaux freins à la création et au développement des entreprises, via notamment des solutions de financement. En 2018, le groupe Société Générale et Société Générale Sénégal inauguraient la première Maison de la PME à Dakar. Depuis, 5 Maisons de la PME ont ouvert leurs portes, chacune, à Ouagadougou (Burkina Faso), Accra (Ghana), Abidjan (Côte d’Ivoire) et Douala (Cameroun). Les petites et moyennes entreprises représentent 90% des sociétés privées et embauchent 70% de la population rurale en Afrique. Pour Société Générale, les PME africaines représentent les 2/3 de sa clientèle entreprises. Rien qu’au Maroc, Société Générale compte environ 16.000 PME. Le groupe a décidé en 2018 d’augmenter de 60% ses encours de crédit aux PME africaines dans les 5 prochaines années (+4 milliards d’euros). La mise en place de l’accompagnement multidimensionnel des dirigeants de PME est l’un des moyens pour atteindre cet objectif. «L’Afrique est l’un des continents qui abritent le plus de jeunes entrepreneurs au monde et voit donc naturellement émerger de nombreuses PME qui, en raison d’obstacles financiers ou d’un manque d’expérience, peinent souvent à passer le cap fatidique des cinq ans d’existence. Ouverte aux clients et aux prospects, la Maison de la PME se propose donc d’accompagner les jeunes PME en termes de croissance, d’exploitation ou d’investissements nécessaires pour répondre à leurs besoins de financements», souligne le groupe. 
",POSITIVE,1.0,mai
130,ACCORHOTELS,"['Novotel', 'Mfadel', 'Ibis Mohammedia']","AccorHotels a officiellement ouvert, mardi dernier, son premier Novotel à Mohammedia, en partenariat avec le groupe Mfadel. Et ce, près d’un an après l’inauguration d’Ibis Mohammedia. Destiné à une clientèle large et diversifiée, cet hôtel cible principalement une clientèle business. Coûtant un investissement global de 140 millions
de DH, il a généré une centaine d’emplois directs.",POSITIVE,1.0,mai
131,SOCIÉTÉ FINANCIÈRE INTERNATIONALE SFI,['Groupe de la Banque mondiale'],"26.000 milliards de dollars. C’est bien là le montant qui pourrait être alloué par les investisseurs aux projets à impact positif. Selon un nouveau rapport de la Société financière internationale (SFI), membre du Groupe de la Banque mondiale, ces investissements visent à générer un impact social et environnemental, tout en garantissant un rendement financier fort. Intitulé «Creating Impact : The promise of impact investing», le document dresse une évaluation du marché et du potentiel global de ces investissements. Le rapport estime que les investisseurs pourraient miser jusqu’à 21.000 milliards de dollars dans les marchés publics des actions et des obligations. Un supplément de 5.000 milliards proviendrait des capitaux privés, de la dette non-souveraine et des capitaux-risques. Pour que cette possibilité devienne une réalité, il faudra créer des opportunités d’investissement et véhiculer les investissements de sorte à favoriser les investisseurs à poursuivre les impacts sociaux et les rendements financiers de façon durable. «Jusqu’à 268.000 milliards de dollars sont potentiellement disponibles pour les investissements, soit le capital financier possédé par les institutions et les foyers du monde entier», précise le rapport. Selon lui, si seulement 10% de ce capital était utilisé dans les investissements à impact positif au niveau social ou environnemental, cela contribuerait énormément au financement des objectifs de développement durable, tout en facilitant la transition à un avenir plus écologique moins touché par l’émission du carbone. «Les objectifs de développement mondiaux et les nécessités immédiates des investisseurs privés commencent à s’aligner, ce qui pourrait comporter des transformations importantes dans l’avenir», a déclaré Philippe Le Houérou, CEO de la SFI. «C’est une opportunité historique qui ne doit pas être perdue. Ce rapport offre des suggestions pratiques pour aider l’harmonisation et la croissance du marché». 
",POSITIVE,1.0,mai
132,OCP,no organisation,"Après le Togo et Madagascar en 2017 et le Burkina Faso en mai dernier, le groupe OCP récidive en initiant au début de ce mois de juin une caravane en Éthiopie. Plus de 100.000 hectares de sols devront être cartographiés afin de compléter la carte de fertilité du sol pour une zone pilote du pays.
",POSITIVE,1.0,mai
